AnnualPatients,BandwidthMbps,VesselWorkers,Reviewers,AnnualizedCompleted,AnalyticalCapacity,P95LatencySeconds,BottleneckOfferedUtilization,Sustainable,EvidencePending,ReviewPending,Generated
100000,5,1,16,101652.5,237219.798405296,129.969660000002,0.454071180555556,1,0,0,557
100000,5,2,1,101652.5,285652.173913043,149.469660000002,0.227035590277778,1,0,0,557
100000,5,2,2,101652.5,474439.596810591,129.969660000002,0.227035590277778,1,0,0,557
100000,5,2,4,101652.5,474439.596810591,129.969660000002,0.227035590277778,1,0,0,557
100000,5,2,8,101652.5,474439.596810591,129.969660000002,0.227035590277778,1,0,0,557
100000,5,2,16,101652.5,474439.596810591,129.969660000002,0.227035590277778,1,0,0,557
100000,5,4,1,101652.5,285652.173913043,149.469660000002,0.14375,1,0,0,557
100000,5,4,2,101652.5,571304.347826087,129.969660000002,0.113517795138889,1,0,0,557
100000,5,4,4,101652.5,948879.193621183,129.969660000002,0.113517795138889,1,0,0,557
100000,5,4,8,101652.5,948879.193621183,129.969660000002,0.113517795138889,1,0,0,557
100000,5,4,16,101652.5,948879.193621183,129.969660000002,0.113517795138889,1,0,0,557
100000,5,8,1,101652.5,285652.173913043,149.469660000002,0.14375,1,0,0,557
100000,5,8,2,101652.5,571304.347826087,129.969660000002,0.071875,1,0,0,557
100000,5,8,4,101652.5,1142608.69565217,129.969660000002,0.0567588975694444,1,0,0,557
100000,5,8,8,101652.5,1897758.38724237,129.969660000002,0.0567588975694444,1,0,0,557
100000,5,8,16,101652.5,1897758.38724237,129.969660000002,0.0567588975694444,1,0,0,557
100000,5,16,1,101652.5,285652.173913043,149.469660000002,0.14375,1,0,0,557
100000,5,16,2,101652.5,571304.347826087,129.969660000002,0.071875,1,0,0,557
100000,5,16,4,101652.5,1142608.69565217,129.969660000002,0.0359375,1,0,0,557
100000,5,16,8,101652.5,2285217.39130435,129.969660000002,0.0283794487847222,1,0,0,557
100000,5,16,16,101652.5,3795516.77448473,129.969660000002,0.0283794487847222,1,0,0,557
100000,10,1,1,101652.5,237219.798405296,137.469660000002,0.454071180555556,1,0,0,557
100000,10,1,2,101652.5,237219.798405296,125.969660000002,0.454071180555556,1,0,0,557
100000,10,1,4,101652.5,237219.798405296,125.969660000002,0.454071180555556,1,0,0,557
